Security Code,Security Id
532343,TVSMOTOR
532345,GATI
532374,STRTECH
532388,IOB
532400,KPIT
532418,ANDHRABANK
532424,GODREJCP
532430,BFUTILITIE
532432,UNITDSPR
532454,BHARTIARTL
532461,PNB
532466,OFSS
532477,UNIONBANK
532478,UBL
532480,ALBK
532482,GRANULES
532483,CANBK
532488,DIVISLAB
532498,SHRIRAMCIT
532500,MARUTI
532505,UCOBANK
532514,IGL
532522,PETRONET
532523,BIOCON
532524,PTC
532531,STAR
532532,JPASSOCIAT
532538,ULTRACEMCO
532540,TCS
532541,NIITTECH
532555,NTPC
532617,JETAIRWAYS
532622,GDL
532636,IIFL
532648,YESBANK
532652,KTKBANK
532654,MCLEODRUSS
532659,IDFC
532667,SUZLON
532670,RENUKA
532683,AIAENG
532689,PVR
532702,GSPL
532710,SADBHAV
532712,RCOM
532714,KEC
532720,M&amp
532733,SUNTV
532754,GMRINFRA
532755,TECHM
532772,DCBBANK
532777,NAUKRI
532779,TORNTPOWER
532784,SOBHA
532798,NETWORK18
532800,TV18BRDCST
532805,REDINGTON
532809,FSL
532810,PFC
532814,INDIANB
532819,MINDTREE
532822,IDEA
532827,PAGEIND
532832,IBREALEST
532835,ICRA
532839,DISHTV
532843,FORTIS
532848,DELTACORP
532868,DLF
532872,SPARC
532873,HDIL
532885,CENTRALBK
532898,POWERGRID
532899,KSCL
532915,RELIGARE
532921,ADANIPORTS
532922,EDELWEISS
532927,ECLERX
532938,CAPF
532939,RPOWER
532947,IRB
532953,VGUARD
532955,RECLTD
532977,BAJAJ-AUTO
532978,BAJAJFINSV
533023,WABCOINDIA
533096,ADANIPOWER
533098,NHPC
533106,OIL
533107,RNAVAL
533122,RTNPOWER
533137,DEN
533144,COX&amp
533148,JSWENERGY
533150,GODREJPROP
533151,DBCORP
533155,JUBLFOOD
533162,HATHWAY
533177,IL&amp
533179,PERSISTENT
533206,SJVN
533228,BHARATFIN
533248,GPPL
533269,WABAG
533273,OBEROIRLTY
533274,PRESTIGE
533278,COALINDIA
533309,DALMIABHA
533398,MUTHOOTFIN
533400,FCONSUMER
533519,L&amp
533573,APLLTD
534091,MCX
534309,NBCC
534690,LAKSHVILAS
534804,CARERATING
534809,PCJEWELLER
534816,INFRATEL
535322,REPCOHOME
535648,JUSTDIAL
535755,ABFRL
535789,IBULHSGFIN
538835,INTELLECT
539254,ADANITRANS
539268,SYNGENE
539332,NAVKARCORP
539336,GUJGAS
539437,IDFCBANK
539448,INDIGO
539523,ALKEM
539524,LALPATHLAB
539807,INFIBEAM
539844,EQUITAS
539874,UJJIVAN
539876,CROMPTON
539889,PARAGMILK
539957,MGL
540005,LTI
540025,ADVENZYMES
540047,DBL
540064,FRETAIL
540065,RBLBANK
540115,LTTS
570001,TATAMTRDVR
